"","Name","Predicted RT","measured RT","measured mz","theoretical mz","adduct"
"1","AMP",860.122133618737,895,"348.0666174","348.0703608","M+H"
"2","L-Glutamate",1160.22123993873,994,"296.1123769","296.116946848","2M+H"
"3","L-Glutamate",1160.22123993873,994,"295.1091067","295.113592","2M+H"
"4","2-Oxoglutarate",746.902583260427,1128,"293.0512428","293.050323","2M+H"
"5","L-Alanine",1025.34018262653,960,"90.05392621","90.05495493","M+H"
"6","CMP",928.957007047805,1103,"346.0417233","346.041072","M+Na"
"8","L-Arginine",1367.10481912083,1661,"349.2269595","349.2306279","2M+H"
"10","L-Serine",1050.01313332299,1019,"106.0485699","106.0498695","M+H"
"12","L-Ornithine",1556.26917278659,1441,"133.0965726","133.0971541","M+H"
"17","L-Phenylalanine",674.483403694734,738,"188.0666125","188.0681997","M+Na"
"18","L-Tyrosine",717.614797247846,902,"204.0611879","204.0631143","M+Na"
"19","Biotin",506.968121556516,433,"123.0513961","123.051358","M+2H"
"22","L-Leucine",746.664192082305,600,"154.0855285","154.0838497","M+Na"
"23","IMP",894.165630474078,1056,"175.0302362","175.0308264","M+2H"
"27","Adenine",555.913763721044,434,"136.0636177","136.0617717","M+H"
"30","L-Proline",1022.98261124327,755,"139.0540045","139.055904458","M+Na"
"31","L-Proline",1022.98261124327,754,"138.0509758","138.0525496","M+Na"
"36","5'-Methylthioadenosine",446.518922483111,433,"298.0931086","298.0968366","M+H"
"37","L-Valine",849.156264923777,723,"118.085039","118.0862551","M+H"
"41","Adenosine",576.875339631151,547,"268.1004536","268.1040304","M+H"
"45","Taurine",842.022542963728,995,"148.0061709","148.0038849","M+Na"
"48","Hypoxanthine",537.433479890572,630,"273.0804903","273.084298","2M+H"
"49","Hypoxanthine",537.433479890572,754,"138.0439538","138.0428222","M+H"
"50","Hypoxanthine",537.433479890572,754,"137.0477377","137.0457872","M+H"
"51","N-Acetylneuraminate",850.736631946131,891,"310.1164227","310.1132577","M+H"
"53","Inosine",599.707973559582,688,"269.0840594","269.088046","M+H"
"54","L-Citrulline",890.744060956693,872,"176.1041937","176.1029678","M+H"
"58","Ethanolamine phosphate",799.793731661872,985,"283.0457436","283.0454649","2M+H"
"59","D-Glucosamine 6-phosphate",1099.14280739903,999,"260.0491713","260.0529794","M+H"
"60","D-Glucosamine 6-phosphate",1099.14280739903,948,"260.0551193","260.0529794","M+H"
"71","Deoxyadenosine",508.141113762004,433,"252.1109287","252.1091158","M+H"
"72","meso-2,6-Diaminoheptanedioate",1398.63031600486,1014,"213.0836346","213.084578","M+Na"
"76","Creatinine",665.159996528055,435,"227.1270917","227.1251002","2M+H"
"83","(R)-3-Hydroxybutanoate",695.245410590588,590,"209.0997322","209.1019647","2M+H"
"85","N(pi)-Methyl-L-histidine",776.139624129461,851,"192.0746626","192.0743477","M+Na"
"86","3,4-Dihydroxyphenylacetate",611.273052634865,925,"169.0503044","169.0495352","M+H"
"87","3,4-Dihydroxyphenylacetate",611.273052634865,899,"169.0503141","169.0495352","M+H"
"88","1-Aminocyclopropane-1-carboxylate",965.457339486399,710,"203.1050155","203.1026334","2M+H"
"92","Phthalate",685.575483187951,711,"84.02114742","84.02058079","M+2H"
"93","Mesaconate",768.519775312835,964,"261.0617493","261.0604938","2M+H"
